Booth Setup Company Name,Company Headline,Company Description,What types of roles are you recruiting for?,Type roles,internship open,internship closes,New Grad Job Application Open Date,New Grad Job Application Closing Date,jobs url,student summit contact
Figma,"Figma is a design platform for teams who build products together. Born on the Web, Figma helps teams create, test, and ship better designs, faster.","Figma is a design platform for teams who build products together. Born on the Web, Figma helps teams create, test, and ship better designs, faster. Companies like Microsoft, Google, and Slack use Figma to boost creative productivity while keeping everyone on the same page. We’re multiplayer people who come from all backgrounds and experiences. We live by our values, celebrate our differences, and care deeply about each other and our users. Visit our booth to hear from our team about life at Figma and learn about upcoming early career opportunities across SWE, product design, and data science!","Internships - Summer 2022,New Grad Jobs","Software Engineering/Development,Data Science/Analysis,Product Design",August 16th,Open until headcount is filled,August 16th,Open until headcount is filled,https://www.figma.com/careers/,
Fidelity Investments,Discover Your Purpose. Embrace Your Potential. Find Your Fidelity.,"Learn more about Leap, or technology immersion program, and our technical internship opportunities. You bring the raw talent and technical skills. We'll invest in the technology and solutions to elevate your capabilities.","New Grad Jobs,Internships - Summer 2022","Software Engineering/Development,Other",16-Aug-22,30-Nov-22,1-Aug-22,20-Nov-22,students.fidelitycareers.com,universitytalent@fmr.com
Epic Games,"Unreal Engine, Fortnite, Rocket League, and so much more! Come learn about the video game company that revolutionized the media and entertainment industry with real-time 3D technology. ","Welcome to the Epic Games booth, RTC! We are so excited to talk to you about opportunities in the video game industry. ","Internships - Summer 2022,Internships - Fall 2021,Internships - Winter/Spring 2022","Software Engineering/Development,Product Design,UI/UX,Other,Data Science/Analysis",,,,,,https://www.epicgames.com/site/en-US/students
eBay Inc ,"Join eBay and influence how millions of people buy, sell, connect and share around the world! ","Join eBay and influence how millions of people buy, sell, connect and share around the world! Learn more about eBay’s purpose, employee experiences and our Communities Of Inclusion (COIs) in our booth and RippleMatch community","New Grad Jobs,Internships - Summer 2022","Software Engineering/Development,Data Science/Analysis,Product Management",Sep-21,Mar-22,Sep-21,Mar-22,https://imagineyourcareerhere.com/eBayUniversityPrograms/index.html,URP@ebay.com 
Duolingo,Find a job that speaks to you!,Be sure to check in at {insert link here},"New Grad Jobs,Internships - Summer 2022","Software Engineering/Development,Data Science/Analysis,Product Management,Product Design,UI/UX",Aug-21,,Aug-21,,university.duolingo.com,brittany@duolingo.com 
Datadog,We're building a monitoring and security platform that engineers love to use!,"We're hiring interns and recent grads in Software Engineering, Product Management, and Product Design. Chat with us or send us a message!","New Grad Jobs,Internships - Summer 2022,Internships - Winter/Spring 2022","Software Engineering/Development,Product Management,Product Design",9-Aug-21,,9-Aug-21,,dtdg.co/eng-student,natalia.le@datadoghq.com
Databricks,Databricks is the data and AI company.,"Databricks is the data and AI company. More than 5,000 organizations worldwide — including Comcast, Condé Nast, H&M, and over 40% of the Fortune 500 — rely on the Databricks Lakehouse Platform to unify their data, analytics and AI. Databricks is headquartered in San Francisco, with offices around the globe. Founded by the original creators of Apache Spark™, Delta Lake and MLflow, Databricks is on a mission to help data teams solve the world’s toughest problems. To learn more, follow Databricks on Twitter, LinkedIn and Facebook.","New Grad Jobs,Internships - Summer 2022,Internships - Winter/Spring 2022",Software Engineering/Development,Late August 2021,,Late August 2021,,https://databricks.com/company/careers/university-recruiting,"Inbar Gam, universityrecruiting@databricks.com"
Cockroach Labs,"Cockroach Labs is the creator of CockroachDB, the most highly evolved cloud-native, distributed SQL database on the planet. We help companies of all sizes — and the apps they develop — scale fast, survive anything, and thrive everywhere.","We're so excited to meet you! Come chat with Roachers from several teams and learn more about our Company, Internship and New Grad opportunities! ","New Grad Jobs,Internships - Summer 2022,Internships - Winter/Spring 2022","Software Engineering/Development,Cybersecurity",Sep-21,Nov-21,Sep-21,Nov-21,https://ripplematch.com/company/cockroach-labs/,waverly@cockroachlabs.com
Capital One,"We empower our team of disruptors, dreamers, and doers by being a place of opportunity for all. ","Changing banking for good, for all.  Culture is inherent – it’s not manufactured, but fostered by the voices involved.  We don’t just want you to work here- we want you to belong. That means feeling seen, heard, valued and free to be your authentic self.  Our mission is to disrupt the financial industry and change banking for good – and we need you to do it. Bring your ambition and in return, you’ll be met with opportunities to advance your career, flexibility, and above and beyond benefits. The support you need to be your best, that’s #LifeAtCapitalOne.","New Grad Jobs,Internships - Summer 2022","Software Engineering/Development,Data Science/Analysis,Product Design,Cybersecurity",Aug-21,Dec-21,Aug-21,Dec-21,https://campus.capitalone.com/,Chiara.Arch@CapitalOne.com
Brex,Reimagine Financial Systems at Brex!,"Welcome! If you’re interested in new grad SWE opportunities at Brex, please email rachel@brex.com with your LinkedIn + resume titled “Your Name - RTC”",New Grad Jobs,Software Engineering/Development,,,Open now!,October,,
Bose,"Feel More, Do More, Be More.",We're excited to be here! Please feel free to ask us any questions you have about our internship and new grad opportunities! ,"Internships - Summer 2022,Internships - Winter/Spring 2022,New Grad Jobs","Hardware Engineering,Software Engineering/Development,UI/UX,Product Design",,,,,,Courtney Fay - courtney_fay@bose.com
Bank of America,What would you like the power to do?,"At Bank of America, we’re guided by a common purpose to help make financial lives better, through the power of every connection. We’re delivering on this through responsible growth with a focus on our environmental, social and governance (ESG) leadership. ESG is embedded across our eight lines of business and reflects how we help fuel the global economy, build trust and credibility, and represent a company that people want to work for, invest in and do business with. It’s demonstrated in the inclusive and supportive workplace we create for our employees, the responsible products and services we offer our clients, and the impact we make around the world in helping local economies thrive. An important part of this work is forming strong partnerships with nonprofits and advocacy groups, such as community, consumer and environmental organizations, to bring together our collective networks and expertise to achieve greater impact.","New Grad Jobs,Internships - Summer 2022","Software Engineering/Development,Data Science/Analysis,Cybersecurity",July 1st,November 1st,TBD (see careers page),TBD (see careers page),https://campus.bankofamerica.com/,
Aurora,"At Aurora, we’re on a mission to deliver the benefits of self-driving technology safely, quickly, and broadly.",Thanks for visiting the Aurora booth! Stay in touch with Aurora: https://tinyurl.com/AuroraRTCSummit21 ,Internships - Summer 2022,"Software Engineering/Development,Hardware Engineering",Sep-21,TBD,N/A,N/A,aurora.tech/careers,
AptDeco,The easiest way to buy & sell your furniture,We're AptDeco - we make the exchange of home furnishings easy for everyone by offering a marketplace and handling the logistics.,"New Grad Jobs,Internships - Fall 2021,Internships - Winter/Spring 2022","Software Engineering/Development,Data Science/Analysis,Product Management",To be determined,To be determined,To be determined,To be determined,https://www.aptdeco.com/careers,"Gina Kim, gina@aptdeco.com"
Apple,Join us. Be you.,"We’re a diverse collective of thinkers and doers, continually reimagining what’s possible. And every new product, service, or feature we invent is the result of people working together to make each other’s ideas stronger.","New Grad Jobs,Internships - Summer 2022","Software Engineering/Development,Product Management,UI/UX,Cybersecurity,Data Science/Analysis,Product Design,Hardware Engineering,Tech Consulting,Other",,,,,https://www.apple.com/careers/us/,
Anduril Industries,Anduril builds cutting-edge hardware and software products that solve complex national security challenges for America and its allies.,Anduril is hiring interns and new grads and we would love to meet you!,"New Grad Jobs,Internships - Summer 2022,Internships - Fall 2021,Internships - Winter/Spring 2022","Hardware Engineering,Software Engineering/Development,Product Design,Cybersecurity",Aug-21,N/A,Aug-21,N/A,https://www.anduril.com/careers,Jennifer Larson jelarson@anduril.com 
Activision Blizzard,"Activision Blizzard sits at the intersection of media, technology, and entertainment. Every player is valuable, helping us create the most epic, and memorable entertainment experiences on a global scale.  ","Activision Blizzard (NASDAQ: ATVI), a member of the S&P 500, is one the world's largest and most successful interactive entertainment companies and sits at the intersection of media, technology, and entertainment. Activision Blizzard has operations throughout the world and its games are played in 196 countries.          We delight hundreds of millions of monthly active users around the world through franchises including Activisionʹs Call of Duty®, Crash Bandicoot™, Spyro™, Tony Hawk’s™: Pro Skater™, and Sekiro™; Blizzardʹs World of Warcraft®, Overwatch®, Hearthstone®, Diablo®, StarCraft®, and Heroes of the Storm®; and Kingʹs Candy Crush™, Pet Rescue™, Bubble Witch™ and Farm Heroes™. ",Internships - Summer 2022,"Software Engineering/Development,UI/UX,Product Management,Data Science/Analysis,Cybersecurity",early-mid September ,mid-December,,,https://careers.activision.com/students,Christina Nichols - christina.nichols@activision.com
Accenture,There’s a whole world of technologies out there. Explore them all at Accenture. ," Match your ingenuity with the latest technology to make incredible things from A-Z. From the biggest global industry players to small startups, we deliver full-service technology and business capabilities through a powerful ecosystem of market leaders and innovators. What does that bring to our clients? The best specialized skills in the world and the newest IT solutions available. Whether we’re building custom applications and software solutions, innovating with intelligent platforms, accelerating growth in the cloud or incubating new concepts in the lab, we’re a many-technologies company, delivering fit-for-purpose, differentiated solutions to clients—and unparalleled career opportunities for our people.","New Grad Jobs,Internships - Summer 2022","Software Engineering/Development,Data Science/Analysis,Product Management,Product Design,UI/UX,Cybersecurity,Hardware Engineering,Tech Consulting",ongoing ,ongoing ,ongoing ,ongoing ,www.accenture.com/careers,caroline.e.stropes@accenture.com
